episode,reward,training_reward,steps,success,epsilon
375,5.37,5.58,23,1,0.22335340131237624
376,5.8100000000000005,6.0200000000000005,19,1,0.22245998770712674
377,5.9,6.050000000000001,10,1,0.22157014775629824
378,5.6,5.8100000000000005,20,1,0.22068386716527305
379,5.34,5.640000000000001,26,1,0.21980113169661195
380,5.79,6.0,21,1,0.2189219271698255
381,-2.26,-2.11,6,0,0.2180462394611462
382,5.36,5.6000000000000005,24,1,0.21717405450330163
383,-1.0799999999999998,-1.2299999999999995,8,0,0.2163053582852884
384,5.4,5.550000000000001,20,1,0.21544013685214725
385,5.17,5.470000000000001,23,1,0.21457837630473867
386,-1.15,-1.0299999999999998,15,0,0.21372006279951972
387,5.59,5.74,21,1,0.21286518254832162
388,5.22,5.61,38,1,0.21201372181812833
389,4.54,4.750000000000001,36,1,0.2111656669308558
390,5.86,6.010000000000001,14,1,0.21032100426313238
391,5.78,6.0200000000000005,22,1,0.20947972024607986
392,-2.25,-2.13,5,0,0.20864180136509555
393,-2.1199999999999997,-1.8199999999999998,12,0,0.20780723415963517
394,5.7700000000000005,5.98,23,1,0.20697600522299664
395,4.77,4.98,33,1,0.20614810120210464
396,5.41,5.620000000000001,19,1,0.20532350879729622
397,5.85,6.0600000000000005,15,1,0.20450221476210703
398,5.16,5.4,24,1,0.2036842059030586
399,5.85,6.0600000000000005,15,1,0.20286946907944636
400,5.58,5.790000000000001,22,1,0.2020579912031286
401,5.86,6.010000000000001,14,1,0.20124975923831606
402,5.72,5.930000000000001,28,1,0.2004447602013628
403,5.22,5.610000000000001,28,1,0.19964298116055734
404,5.83,6.040000000000001,17,1,0.19884440923591512
405,5.36,5.66,24,1,0.19804903159897147
406,5.83,6.040000000000001,17,1,0.19725683547257558
407,5.74,6.07,26,1,0.1964678081306853
408,-3.2100000000000004,-3.18,81,0,0.19568193689816255
409,5.38,5.680000000000001,22,1,0.1948992091505699
410,5.58,5.82,22,1,0.19411961231396763
411,5.78,5.99,22,1,0.19334313386471175
412,5.28,5.61,32,1,0.1925697613292529
413,5.34,5.550000000000001,26,1,0.1917994822839359
414,5.18,5.390000000000001,22,1,0.19103228435480016
415,5.6,5.870000000000001,20,1,0.19026815521738097
416,-1.68,-1.4699999999999998,18,0,0.18950708259651144
417,5.78,5.99,22,1,0.1887490542661254
418,5.6,5.840000000000001,20,1,0.18799405804906089
419,5.5600000000000005,5.800000000000001,24,1,0.18724208181686464
420,4.67,4.88,43,1,0.18649311348959718
421,3.98,4.19,52,1,0.1857471410356388
422,5.74,5.95,26,1,0.18500415247149624
423,5.86,6.010000000000001,14,1,0.18426413586161025
424,5.59,5.890000000000001,21,1,0.1835270793181638
425,4.47,4.680000000000001,63,1,0.18279297100089115
426,5.55,5.880000000000001,25,1,0.18206179911688758
427,5.76,6.15,24,1,0.18133355192042003
428,5.9,6.050000000000001,10,1,0.18060821771273836
429,5.39,5.630000000000001,21,1,0.17988578484188741
430,4.94,5.24,26,1,0.17916624170251985
431,5.24,5.57,36,1,0.17844957673570977
432,5.79,6.000000000000001,21,1,0.17773577842876692
433,5.82,6.0600000000000005,18,1,0.17702483531505186
434,5.83,6.040000000000001,17,1,0.17631673597379166
435,5.83,6.1000000000000005,17,1,0.1756114690298965
436,5.86,6.010000000000001,14,1,0.1749090231537769
437,4.8100000000000005,5.0200000000000005,29,1,0.1742093870611618
438,5.86,6.010000000000001,14,1,0.17351254951291714
439,5.1,5.370000000000001,30,1,0.17281849931486548
440,5.82,6.0600000000000005,18,1,0.17212722531760602
441,5.59,5.890000000000001,21,1,0.1714387164163356
442,5.49,5.73,31,1,0.17075296155067024
443,5.83,6.040000000000001,17,1,0.17006994970446757
444,5.76,6.000000000000001,24,1,0.1693896699056497
445,5.5600000000000005,5.7700000000000005,24,1,0.16871211122602708
446,5.51,5.720000000000001,29,1,0.16803726278112296
447,5.74,5.95,26,1,0.16736511372999846
448,5.54,5.75,26,1,0.16669565327507846
449,5.29,5.500000000000001,31,1,0.16602887066197813
450,5.3,5.69,30,1,0.16536475517933022
451,5.07,5.37,33,1,0.1647032961586129
452,5.57,5.8100000000000005,23,1,0.16404448297397844
453,5.62,5.86,18,1,0.16338830504208254
454,5.55,5.760000000000001,25,1,0.16273475182191421
455,5.7,6.03,30,1,0.16208381281462655
456,5.58,5.790000000000001,22,1,0.16143547756336804
457,5.62,5.890000000000001,18,1,0.16078973565311458
458,5.83,6.1000000000000005,17,1,0.16014657671050211
459,5.65,5.800000000000001,15,1,0.1595059904036601
460,5.82,6.03,18,1,0.15886796644204546
461,5.82,6.03,18,1,0.15823249457627728
462,5.82,6.03,18,1,0.15759956459797217
463,-2.7299999999999995,-2.55,13,0,0.15696916633958027
464,5.9,6.050000000000001,10,1,0.15634128967422195
465,2.5300000000000074,2.74,97,1,0.15571592451552507
466,5.8,6.1000000000000005,20,1,0.15509306081746296
467,5.8100000000000005,6.0200000000000005,19,1,0.1544726885741931
468,5.61,5.8500000000000005,19,1,0.15385479781989633
469,-3.36,-3.3899999999999997,46,0,0.15323937862861675
470,5.68,6.010000000000001,32,1,0.1526264211141023
471,5.41,5.680000000000001,19,1,0.15201591542964588
472,5.6,5.8100000000000005,20,1,0.1514078517679273
473,5.57,5.960000000000001,23,1,0.15080222036085558
474,-2.1199999999999997,-1.9399999999999995,12,0,0.15019901147941217
475,5.83,6.040000000000001,17,1,0.14959821543349452
476,5.74,6.07,26,1,0.14899982257176056
477,5.74,6.130000000000001,26,1,0.14840382328147353
478,5.76,6.15,24,1,0.14781020798834762
479,5.07,5.4,33,1,0.14721896715639424
480,5.62,5.83,18,1,0.14663009128776866
481,-1.39,-1.1799999999999997,19,0,0.14604357092261758
482,5.55,5.94,25,1,0.1454593966389271
483,5.47,5.800000000000001,33,1,0.14487755905237137
484,5.8100000000000005,6.08,19,1,0.1442980488161619
485,5.83,6.040000000000001,17,1,0.14372085662089726
486,5.62,5.83,18,1,0.14314597319441366
487,5.65,5.800000000000001,15,1,0.14257338930163602
488,4.9,5.11,40,1,0.14200309574442946
489,5.8,6.1000000000000005,20,1,0.14143508336145175
490,-1.13,-1.0099999999999998,13,0,0.14086934302800594
491,5.7700000000000005,5.98,23,1,0.14030586565589392
492,5.19,5.4,21,1,0.13974464219327035
493,5.84,5.99,16,1,0.13918566362449727
494,3.9399999999999995,4.15,96,1,0.1386289209699993
495,5.61,5.91,19,1,0.1380744052861193
496,5.8,6.040000000000001,20,1,0.13752210766497483
497,5.76,6.090000000000001,24,1,0.13697201923431493
498,5.55,5.94,25,1,0.13642413115737767
499,5.82,6.03,18,1,0.13587843463274815
500,-2.3,-2.1499999999999995,60,0,0.13533492089421717
501,5.83,6.040000000000001,17,1,0.1347935812106403
502,5.34,5.73,26,1,0.13425440688579773
503,5.63,5.78,17,1,0.13371738925825455
504,-1.1099999999999999,-1.1699999999999995,11,0,0.13318251970122152
505,5.41,5.620000000000001,19,1,0.13264978962241664
